id_componente,tipo_componente,codigo,nivel,nome,unidade_responsavel,ch_teorico,ch_pratico,ch_estagio,ch_total,ch_dedicada_docente,ch_ead,cr_max_ead,permite_horario_flexivel,qtd_unidades,procedimentos_avaliacao,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,objetivos,conteudo,competencias_habilidades,referencias,ano_programa,periodo_programa,modalidade,curso_componente
20007,DISCIPLINA,DIM0072,G,TECNICAS DE ESPECIFICACAO FORMAL,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,0,0,20,False,3.0,,( DIM0026 ) OU ( DIM0336 ) ,( ( ( DIM0049 OU DIM0337 ) E ( DIM0051 OU DIM0060 OU DIM0336 ) ) ) ,,"Estudo de técnicas de descrição formal para especificação formal. verificação e
validação de sistemas. Estudo de aplicação de pelo menos uma das
linguagens de especificação formal.",,,,,,,,Presencial,
26907,DISCIPLINA,DIM0031,G,AUDITORIA DE SISTEMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,30,30,0,60,0,0,20,False,3.0,,,,,"Introdução. Objetivos, funções do auditor, nações de auditora,
técnicas de auditoria. Auditoria em sistemas; nas aplicações, na
produção, no desenvolvimento. Auditoria através de sistemas.",,,,,,,,Presencial,
26908,DISCIPLINA,DIM0036,G,TOPICOS ESPECIAIS EM COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,45,15,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26909,DISCIPLINA,DIM0037,G,INFORMATICA E SOCIEDADE,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,30,0,0,30,30,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26910,DISCIPLINA,DIM0067,G,MICROCOMPUTADORES,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26911,DISCIPLINA,DIM0068,G,INTRODUCAO A TEORIA DAS FILAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26912,DISCIPLINA,DIM0073,G,SISTEMAS DE TEMPO REAL,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26913,DISCIPLINA,DIM0079,G,INTRODUCAO A CIBERNETICA,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26914,DISCIPLINA,DIM0083,G,PROGRAMACAO ESTOCASTICA,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,0,0,60,60,0,20,False,3.0,,,,,,,,,,,,,Presencial,
26915,DISCIPLINA,DIM0090,G,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,30,0,0,30,0,0,20,True,3.0,,,,,"Este componente cobre temas de Computação não contemplados em
outros componentes curriculares, podendo variar a cada oferta de turma.
A área de Computação é extremamente dinâmica e requer que, além de
um conjunto fixo de componentes obrigatórios e optativos com ementa
pré-definida, se tenha a flexibilidade de oferecer ao aluno exposição a
temas inovadores e de tendências atuais que, mais tarde, após algum
amadurecimento, podem vir a ser introduzidos como componentes
optativos. Para permitir que o aluno participe de turmas de diferentes
temas, no mesmo ou em diferentes semestres, é necessário termos um
conjunto de códigos para que temas diferentes sejam oferecidos com
códigos diferentes pela coordenação do curso de forma rotativa ao longo
do tempo. Este é o primeiro componente de 30 horas-aula desta
sequência.",,Este conteúdo será definido pelo professor de acordo com o PPP e detalhado  no primeiro dia de aula,Este conteúdo será definido pelo professor de acordo com o PPP e detalhado  no primeiro dia de aula,,,2024.0,1.0,Presencial,
26916,DISCIPLINA,DIM0091,G,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,30,0,0,30,0,0,20,True,3.0,,,,,"Este componente cobre temas de Computação não contemplados em
outros componentes curriculares, podendo variar a cada oferta de turma.
A área de Computação é extremamente dinâmica e requer que, além de
um conjunto fixo de componentes obrigatórios e optativos com ementa
pré-definida, se tenha a flexibilidade de oferecer ao aluno exposição a
temas inovadores e de tendências atuais que, mais tarde, após algum
amadurecimento, podem vir a ser introduzidos como componentes
optativos. Para permitir que o aluno participe de turmas de diferentes
temas, no mesmo ou em diferentes semestres, é necessário termos um
conjunto de códigos para que temas diferentes sejam oferecidos com
códigos diferentes pela coordenação do curso de forma rotativa ao longo
do tempo. Este é o segundo componente de 30 horas-aula desta sequência.",,Serão definidos em breve pelo professor,Serão definidos em breve pelo professor,Serão definidos em breve pelo professor,,2016.0,1.0,Presencial,
26917,DISCIPLINA,DIM0092,G,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,30,0,0,30,0,0,20,True,3.0,,,,,"Este componente cobre temas de Computação não contemplados em
outros componentes curriculares, podendo variar a cada oferta de turma.
A área de Computação é extremamente dinâmica e requer que, além de
um conjunto fixo de componentes obrigatórios e optativos com ementa
pré-definida, se tenha a flexibilidade de oferecer ao aluno exposição a
temas inovadores e de tendências atuais que, mais tarde, após algum
amadurecimento, podem vir a ser introduzidos como componentes
optativos. Para permitir que o aluno participe de turmas de diferentes
temas, no mesmo ou em diferentes semestres, é necessário termos um
conjunto de códigos para que temas diferentes sejam oferecidos com
códigos diferentes pela coordenação do curso de forma rotativa ao longo
do tempo. Este é o terceiro componente de 30 horas-aula desta sequência.",,,,,,,,Presencial,
