;id_turma;codigo_turma;id_componente;codigo;nome;siape;ch_dedicada_periodo;ano;periodo;descricao_horario;situacao_turma;capacidade_aluno;total_solicitacoes
0;1208017;01;25247;DIM0320;ALGORITMO E PROGRAMACAO DE COMPUTADORES;1495704.0;60;2013;2;35M56;CONSOLIDADA;41.0;25.0
1;1208019;02;25247;DIM0320;ALGORITMO E PROGRAMACAO DE COMPUTADORES;1350250.0;60;2013;2;35T12;CONSOLIDADA;40.0;49.0
2;1208040;01;21781;DIM0440;INTELIGENCIA ARTIFICIAL;2524467.0;60;2013;2;24M34;CONSOLIDADA;40.0;23.0
3;1208051;01;25248;DIM0103;INTRODUCAO A INFORMATICA;3366375.0;60;2013;2;24T56;CONSOLIDADA;35.0;51.0
4;1208531;01;21752;DIM0335;APLIC.DE GRAFOS A EXPLOR.E DISTRIB.DO PETROLEO;1201268.0;60;2013;2;2M1234;CONSOLIDADA;1.0;4.0
5;1210338;01;52653;IMD0013;ELEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO;1988053.0;90;2013;2;246N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;22.0
6;1210341;02;52653;IMD0013;ELEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO;1988053.0;90;2013;2;246N34 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;35.0
7;1210347;01;52656;IMD0014;INTRODUÇÃO AO CÁLCULO;2042579.0;60;2013;2;35N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;21.0
8;1210358;01;52652;IMD0012.1;PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO;1974582.0;30;2013;2;4N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;41.0
9;1210362;01;52651;IMD0012.0;INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO;2451906.0;60;2013;2;35N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;40.0
10;1210364;02;52652;IMD0012.1;PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO;1974582.0;30;2013;2;2N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;16.0
11;1210755;01;52784;IMD0026;PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II;1973084.0;45;2013;2;2N34 7N2 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;12.0
12;1210758;02;52784;IMD0026;PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II;2916579.0;45;2013;2;2N12 7N1 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;48.0
13;1210762;03;52784;IMD0026;PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II;1971421.0;45;2013;2;2M34 7M2 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;38.0
14;1210775;04;52784;IMD0026;PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II;1971421.0;45;2013;2;2M12 7M1 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;45.0
15;1210780;01;52537;IMD0011.0;CIRCUITOS LÓGICOS;2885532.0;60;2013;2;35N34 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;41.0
16;1210785;02;52537;IMD0011.0;CIRCUITOS LÓGICOS;2885532.0;60;2013;2;35N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;60.0;40.0
17;1210788;01A;52538;IMD0011.1;LABORATÓRIO DE CIRCUITOS LÓGICOS;1966965.0;30;2013;2;4N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;35.0
18;1210795;02A;52538;IMD0011.1;LABORATÓRIO DE CIRCUITOS LÓGICOS;1966965.0;30;2013;2;4N34 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;18.0
19;1210799;03A;52538;IMD0011.1;LABORATÓRIO DE CIRCUITOS LÓGICOS;2809342.0;30;2013;2;6N12 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;39.0
20;1210802;04A;52538;IMD0011.1;LABORATÓRIO DE CIRCUITOS LÓGICOS;2809342.0;30;2013;2;6N34 (29/07/2013 - 14/12/2013);CONSOLIDADA;30.0;7.0
