id_turma;id_curso;ano;periodo;media_final_geral;total_alunos;qtd_aprovado;qtd_aprovado_por_nota;total_aprovados;qtd_reprovado;qtd_reprovado_por_média_e_por_faltas;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota;qtd_desistencia;qtd_trancado
1198765;10317040;2013;1;8.366666666666665;27;27;0;27;0;0;0;0;0;0;0
1198769;10317040;2013;1;8.338461538461537;13;13;0;13;0;0;0;0;0;0;0
1198772;10317040;2013;1;8.191666666666666;12;12;0;12;0;0;0;0;0;0;0
1198795;10317040;2013;1;7.527272727272727;12;11;0;11;1;0;0;0;0;0;0
1198826;10317040;2013;1;7.663636363636363;11;11;0;11;0;0;0;0;0;0;0
1198827;10317040;2013;1;8.166666666666666;13;12;0;12;0;0;0;0;0;1;0
1198830;10317040;2013;1;8.007692307692308;14;13;0;13;0;0;0;0;0;1;0
1198861;10317040;2013;1;6.561538461538462;15;13;0;13;0;0;0;0;0;2;0
1198867;10317040;2013;1;6.550000000000001;12;12;0;12;0;0;0;0;0;0;0
1198878;10317040;2013;1;6.466666666666667;13;9;0;9;0;2;0;0;0;2;0
1198895;10317040;2013;1;7.319999999999999;15;15;0;15;0;0;0;0;0;0;0
1198906;10317040;2013;1;0.0;2;0;0;0;0;0;0;0;0;2;0
1198916;10317040;2013;1;0.0;3;0;0;0;0;0;0;0;0;3;0
1198945;10317040;2013;1;8.6;3;3;0;3;0;0;0;0;0;0;0
1198955;10317040;2013;1;7.266666666666667;3;3;0;3;0;0;0;0;0;0;0
1198958;10317040;2013;1;7.933333333333334;3;3;0;3;0;0;0;0;0;0;0
1198960;10317040;2013;1;9.266666666666667;3;3;0;3;0;0;0;0;0;0;0
1198961;10317040;2013;1;8.566666666666666;3;3;0;3;0;0;0;0;0;0;0
1198963;10317040;2013;1;7.966666666666668;3;3;0;3;0;0;0;0;0;0;0
1198966;10317040;2013;1;9.0;3;3;0;3;0;0;0;0;0;0;0
1198979;10317040;2013;1;7.899999999999999;3;3;0;3;0;0;0;0;0;0;0
1198992;10317040;2013;1;8.4;3;3;0;3;0;0;0;0;0;0;0
1198995;10317040;2013;1;7.15;21;16;0;16;0;0;0;0;0;0;5
1199010;10317040;2013;1;0.0;1;0;0;0;0;0;0;0;0;1;0
1199037;10317040;2013;1;7.671428571428571;15;14;0;14;0;0;0;0;0;0;1
1199047;10317040;2013;1;7.633333333333333;4;3;0;3;1;0;0;0;0;0;0
1199051;10317040;2013;1;6.933333333333334;3;3;0;3;0;0;0;0;0;0;0
1199055;10317040;2013;1;8.1;4;4;0;4;0;0;0;0;0;0;0
1199064;10317040;2013;1;7.966666666666666;3;3;0;3;0;0;0;0;0;0;0
1199067;10317040;2013;1;7.800000000000001;4;4;0;4;0;0;0;0;0;0;0
1199072;10317040;2013;1;7.075;4;4;0;4;0;0;0;0;0;0;0
1199087;10317040;2013;1;6.625;4;4;0;4;0;0;0;0;0;0;0
1199096;10317040;2013;1;6.475;5;4;0;4;0;0;0;0;0;1;0
