RegionName,CountryName,Year,SuicideCount,Population,GDP,InflationRate,EmploymentPopulationRatio
Europe,Albania,1992,47.0,3247039.0,652174990.8,226.0054213,45.315
Europe,Albania,1993,73.0,3227287.0,1185315468.0,85.00475124,47.798
Europe,Albania,1994,52.0,3207536.0,1880950864.0,22.56505269,50.086
Europe,Albania,1995,91.0,3187784.0,2392764853.0,7.793218538,53.186
Europe,Albania,1996,92.0,3168033.0,3199640815.0,12.72547781,53.039
Europe,Albania,1997,176.0,3148281.0,2258513974.0,33.18027438,51.873
Europe,Albania,1998,165.0,3128530.0,2545964541.0,20.64285887,49.373
Europe,Albania,1999,154.0,3108778.0,3212121651.0,0.389437654,48.201
Europe,Albania,2000,57.0,3089027.0,3480355258.0,0.050018136,48.925
Europe,Albania,2001,119.0,3060173.0,3922100794.0,3.10758827,48.76
Europe,Albania,2002,133.0,3051010.0,4348068242.0,7.770525834,48.943
Europe,Albania,2003,124.0,3039616.0,5611496257.0,0.484002612,48.608
Europe,Albania,2004,146.0,3026939.0,7184685782.0,2.280019169,48.118
Europe,Albania,2005,0.0,3011487.0,8052077248.0,2.366581957,47.416
Europe,Albania,2006,0.0,2992547.0,8896075005.0,2.370728319,46.701
Europe,Albania,2007,124.0,2970017.0,10677324853.0,2.932682482,45.606
Europe,Albania,2008,160.0,2947314.0,12881352894.0,3.320870904,46.243
Europe,Albania,2009,0.0,2927519.0,12044205550.0,2.266922095,47.473
Europe,Albania,2010,96.0,2913021.0,11926926616.0,3.626046956,47.422
Central and South America,Argentina,1991,1961.0,33105763.0,189720000000.0,171.67,56.747
Central and South America,Argentina,1992,2209.0,33568285.0,228779000000.0,24.9,56.867
Central and South America,Argentina,1993,2249.0,34027240.0,236742000000.0,10.61,55.269
Central and South America,Argentina,1994,2258.0,34488696.0,257440000000.0,4.18,54.689
Central and South America,Argentina,1995,2215.0,34946110.0,258032000000.0,3.38,49.947
Central and South America,Argentina,1996,2245.0,35389362.0,272150000000.0,0.16,51.379
Central and South America,Argentina,1997,2247.0,35815971.0,292859000000.0,0.53,53.437
Central and South America,Argentina,1998,2359.0,36233195.0,298948000000.0,0.9,55.058
Central and South America,Argentina,1999,2431.0,36653031.0,283523000000.0,-1.2,53.735
Central and South America,Argentina,2000,2787.0,37070774.0,284204000000.0,-0.9,52.96
Central and South America,Argentina,2001,3147.0,37480493.0,268697000000.0,-1.1,50.99
Central and South America,Argentina,2002,3178.0,37885028.0,97724004252.0,25.9,48.436
Central and South America,Argentina,2003,3307.0,38278164.0,127587000000.0,13.4,51.697
Central and South America,Argentina,2004,3134.0,38668796.0,164658000000.0,4.4,53.566
Central and South America,Argentina,2005,3071.0,39070501.0,198737000000.0,9.6,54.43
Central and South America,Argentina,2006,3118.0,39476851.0,232557000000.0,10.9,55.571
Central and South America,Argentina,2007,2955.0,39876111.0,287531000000.0,8.8,55.941
Central and South America,Argentina,2008,3071.0,40273769.0,361558000000.0,8.6,55.692
Central and South America,Argentina,2009,2910.0,40684338.0,332976000000.0,6.3,55.523
Central and South America,Argentina,2010,2967.0,40788453.0,423627000000.0,10.5,55.549
Central and South America,Argentina,2011,2934.0,41261490.0,530158000000.0,9.8,56.295
Central and South America,Argentina,2012,3273.0,41733271.0,545982000000.0,10.0,56.002
Central and South America,Argentina,2013,3004.0,42202935.0,552025000000.0,10.6,55.703
Central and South America,Argentina,2014,3255.0,42669500.0,526320000000.0,23.9,55.119
Central and South America,Argentina,2016,3050.0,43590368.0,557532000000.0,26.5,54.249
Central and South America,Argentina,2017,3222.0,44044811.0,643628000000.0,25.7,53.899
Central and South America,Argentina,2018,3322.0,44494502.0,524820000000.0,34.3,54.105
